target,period_days,t0,duration_days,duration_hours,depth_mean_per_transit,planet_to_star_radius_ratio,impact_parameter,inclination,scaled_semi_major_axis,eccentricity,planet_radius_rjup,stellar_radius,max_ses,max_mes
Kepler-1649b,8.68910764,2454966.23559,0.048445833333333334,1.1627,0.001679,0.038216,0.049,89.95,59.2,0.0,0.04371487197787492,0.118,3.7267683,11.992775
Kepler-1649c,19.5352551,2454981.20374,0.04220833333333333,1.013,0.001732,0.041128,0.702,89.65,113.4,0.0,0.047283432955660634,0.118,3.1107934,8.043725
