target,period_days,t0,duration_days,duration_hours,depth_mean_per_transit,planet_to_star_radius_ratio,impact_parameter,inclination,scaled_semi_major_axis,eccentricity,planet_radius_rjup,stellar_radius,max_ses,max_mes
Kepler-223b,7.38443269,2454970.47412,0.2389625,5.7351,0.0003498,0.017768,0.594,85.83,8.16,0.0,0.21589793915603533,1.248,4.773787,15.655474
Kepler-223c,9.84824649,2454971.38845,0.2394625,5.7471,0.0004367,0.019691,0.55,87.2,11.26,0.0,0.23909358551164245,1.248,4.7317815,15.3733635
Kepler-223d,14.78767172,2455009.79399,0.25496250000000004,6.1191,0.0007817999999999999,0.025359,0.021,89.94,18.935,0.0,0.30868052457846373,1.248,6.03615,27.603867
Kepler-223e,19.7243672,2454968.05923,0.3000833333333333,7.202,0.0005779,0.026226,0.898,85.06,10.43,0.0,0.31849406726737445,1.248,4.723357,17.067675
