target,period_days,t0,duration_days,duration_hours,depth_mean_per_transit,planet_to_star_radius_ratio,impact_parameter,inclination,scaled_semi_major_axis,eccentricity,planet_radius_rjup,stellar_radius,max_ses,max_mes
Kepler-51b,45.15535633,2454992.10544,0.24102083333333335,5.7845,0.0062087,0.072072,0.063,89.94,63.828,0.0,0.6824872870015167,0.972,43.76758,176.52367
Kepler-51c,85.3162004,2455128.31588,0.1143375,2.7441,0.0019026,0.059763,0.972,89.44,100.1,0.0,0.5656169149790347,0.972,10.996511,27.498526
Kepler-51d,130.17802962,2455045.032638,0.352225,8.4534,0.0115709,0.098365,0.022,89.99,129.19,0.0,0.9313944152020698,0.972,77.47073,203.99986
