target,period_days,t0,duration_days,duration_hours,depth_mean_per_transit,planet_to_star_radius_ratio,impact_parameter,inclination,scaled_semi_major_axis,eccentricity,planet_radius_rjup,stellar_radius,max_ses,max_mes
Kepler-36b,13.84984567,2454974.64914,0.3032625,7.2783,8.46e-05,0.008397,0.012,89.95,14.67,0.0,0.1293603354447319,1.585,6.1208806,16.726513
Kepler-36c,16.23191704,2455004.67758,0.310875,7.461,0.0005016,0.020452,0.017,89.94,16.968,0.0,0.31581764653403516,1.585,17.554491,109.9509
