period_days,t0,duration_days,duration_hours,scale_mean,scale_std,scale_skewness,scale_kurtosis,scale_outlier_resistance,local_noise,depth_stability,acf_lag_1h,acf_lag_3h,acf_lag_6h,acf_lag_12h,acf_lag_24h,cadence_hours,depth_mean_per_transit,depth_std_per_transit,npts_transit_median,cdpp_3h,cdpp_6h,cdpp_12h,SES_mean,SES_std,MES,max_ses,max_mes,snr_global,snr_per_transit_mean,snr_per_transit_std,resid_rms_global,vshape_metric,secondary_depth,secondary_depth_snr,secondary_depth_snr_log,secondary_depth_snr_capped,odd_even_depth_ratio,ingress_egress_asymmetry,skewness_flux,kurtosis_flux,outlier_resistance,planet_radius_rearth,planet_radius_rjup,mes_threshold_used,is_provisional_detection,detection_status,candidate_label,matched_target,matched_period_ratio
3.8867953651499003,133.32898890046312,0.07268599255113965,1.7444638212273516,-0.02034039508360093,1.0,-1.2791223566053536,14.296090290858206,0.42421719920599343,0.0006452687070206447,0.736366766781617,0.8016165084733932,0.7476460650004109,0.7055122987542186,0.6181673588156181,0.4497333169917498,0.4904075148515403,0.00039097998231450845,0.0002529010776074666,4.0,272.8330809041598,378.2940411914826,472.0835913441935,1.5632250733440967,1.0446321644136887,29.93354301808104,6.257956673728186,29.93354301808104,1.4330373025837402,1.5632250733440967,1.0446321644136887,0.0007748876544666067,1.1760500465080037,0.0010264743528980436,94.03054407150233,1.5607264753336385,3.762279667466796,0.9787438169951187,0.0004529278701906926,-1.2791223566053536,14.296090290858206,0.42421719920599343,1.0246973699673345,0.09139624296198104,7.1,0.0,accepted,CONFIRMED,Kepler-186b,direct
7.267311963699559,137.9779545295445,0.10439321024959405,2.5054370459902575,-0.020397798600416035,1.0,-0.46920354268620434,8.042113702700052,0.3055660022564874,0.0006571950070008008,0.8687574099248143,0.7839641484931495,0.7231417676742258,0.6825831578595772,0.5992586732116243,0.44454497302994833,0.49040741130011156,0.0005616426900851734,0.0002591397081099431,5.0,272.8159154875119,378.33962907588557,487.2745280916185,1.8983791767025844,1.198683690492265,26.163307524522338,6.848838833389422,26.163307524522338,2.0586874086196136,1.8983791767025844,1.198683690492265,0.0007443996529535105,1.002375062500179,0.0011852251091669652,95.78734401225668,1.6760517842984402,4.344413364040775,0.9291591111943358,-0.00248533099313665,-0.46920354268620434,8.042113702700052,0.3055660022564874,1.2281415249010763,0.1095421189625332,7.1,0.0,accepted,CONFIRMED,Kepler-186c,direct
13.3431181216707,136.87721756980176,0.13610802849104833,3.26659268378516,-0.018129875223934024,1.0,-0.5772037120253272,9.273180659692859,0.31793557946074424,0.0006450894144654182,0.7146107992046283,0.7833113766550776,0.7178429735644318,0.6780423090578619,0.5917356695384217,0.43498220248192954,0.49040736677125096,0.0007462574571991476,0.0002668178389969725,6.0,272.0535391023718,374.18029110925005,469.3544620327077,1.9942810145882008,1.4623868180813695,22.6516163833283,8.913135872536774,22.6516163833283,2.654502307195809,1.9942810145882008,1.4623868180813695,0.0007488083179526559,0.8449462817648702,0.0010205972742355351,69.66640388015952,1.532633055191882,3.6303527596817107,1.0151933248823355,0.010421852595373163,-0.5772037120253272,9.273180659692859,0.31793557946074424,1.415672194888566,0.12626861712612863,7.1,0.0,accepted,CONFIRMED,Kepler-186d,direct
22.40762948403582,153.81021647823212,0.14576008230845525,3.4982419754029257,-0.017127493897606996,0.9999999999999999,-0.8420894360578858,11.248386120228773,0.37901883558822075,0.0006517623706614913,0.6385651586328387,0.7955878427941132,0.7418220644462027,0.6983377565412343,0.6081053808882794,0.4382357583633773,0.4904077395913191,0.0006178510372940757,0.00023723978327949146,7.0,272.8383572441071,381.9784183111674,487.3255595150684,2.055693346678433,1.4109778387414835,15.986543888008178,7.809265415495953,16.01265002377671,2.1234591417407698,2.055693346678433,1.4109778387414835,0.0007576788455273864,,0.001353373822835402,72.73622716929782,1.731892333626347,4.651338013250987,1.0248908995539177,-0.03966931287991324,-0.8420894360578858,11.248386120228773,0.37901883558822075,1.2881316473342217,0.11489284198175352,7.1,0.0,accepted,CONFIRMED,Kepler-186e,direct
72.02479960451075,163.3867046976968,0.2743559237709754,6.5845421705034095,-0.020558350337045075,1.0,-0.9983882164160663,12.488514651045914,0.3993410872061099,0.0006358012629765169,1.6955037963057729,0.7992961878964776,0.748266422522761,0.7045195821264939,0.6137470235006728,0.44231767502167274,0.49040778988273814,9.687628927443904e-05,0.0002454730993901434,13.0,270.0794089424333,381.17365777976914,470.29252528525194,0.23338557949816205,0.8580522106655065,0.8375576184073507,7.936889956919937,2.2252574960196956,0.24849252648750658,0.23338557949816205,0.8580522106655065,0.0007634026149310785,,0.0011293625906565463,47.26380050263585,1.3601740571548289,2.896871521138741,1.0250269376663972,0.008772973383310833,-0.9983882164160663,12.488514651045914,0.3993410872061099,0.5100668604277933,0.04549459778939373,7.1,1.0,rejected,FALSE-POSITIVE,,
99.31895249210646,205.77307657454566,0.43768896875677454,10.50453525016259,-0.0261479629637061,1.0000000000000002,-1.336341663168077,15.101979762097319,0.4459308807134894,0.0006517747396770285,1.3090858930500775,0.8094458485076919,0.7605665791466264,0.7180898784664972,0.62959322510976,0.46017513590957737,0.49040778988273814,0.00020034803331238558,0.00027924199917242563,16.0,265.7401523833884,378.61671646431756,474.54154683644157,1.2247642531442169,1.8718608092091105,1.3883968587295552,11.880278422545729,2.405659266398762,0.44459260992810556,1.2247642531442169,1.8718608092091105,0.0007836691537152998,,0.0010775102179582108,48.70614249272994,1.2211556736593931,2.3911044800689223,0.9836369170636244,0.023601936283205994,-1.336341663168077,15.101979762097319,0.4459308807134894,0.7335182135414011,0.065424983831085,7.1,1.0,rejected,FALSE-POSITIVE,,
169.05180376574538,254.42560969939592,0.4863210763964162,11.67170583351399,-0.008530216677944156,1.0,-0.5931568409755471,10.614866114040243,0.27121915506081634,0.0006342854753290909,0.7959001365980216,0.7874388031941407,0.7351857384672812,0.6918836893922758,0.6028796024685195,0.43871817058517415,0.49040778988273814,0.00024446379483276736,0.0003332468415545505,23.0,262.0576152225291,361.9572266905686,451.5178278292266,1.5594920413495401,3.2671823367809796,-0.02945599530363483,8.622557095671262,2.779678844127993,0.5473673068796097,1.5594920413495401,3.2671823367809796,0.0007402491720817747,,0.000935739273313696,34.7549431480066,1.1298426693141537,2.0951694966757,2.161630322367795,0.09301782928444315,-0.5931568409755471,10.614866114040243,0.27121915506081634,0.8102623042648758,0.0722700502548259,7.1,1.0,rejected,FALSE-POSITIVE,,
371.77199918831934,356.06866572000797,0.3334771252982318,8.003451007157564,-0.021426266440482462,0.9999999999999999,-1.1750153699630508,13.416578460550646,0.4498303131203176,0.0006322030689568436,0.9116440021693982,0.8017469554690215,0.7478648954147805,0.7058328677026454,0.6187869987183011,0.4511914439168302,0.4904075148515403,0.0002420892766928917,0.0003791179685727064,12.5,269.699419621422,378.74725125023014,476.45428883568604,1.5286867938001543,0.0,1.5286867938001543,8.87915420580291,1.5325825059756735,0.5884916935784303,1.5286867938001543,0.0,0.000775147687837494,,0.0011878411146838408,25.898735135145238,1.3577682356252683,2.887507612198625,,,-1.1750153699630508,13.416578460550646,0.4498303131203176,0.8063175946580243,0.07191820819080876,7.1,1.0,rejected,FALSE-POSITIVE,,
374.67167941507574,350.29864922988133,0.43560468710069833,10.45451249041676,-0.019512335044462193,1.0,-1.301888052614832,14.695265824674799,0.42845607501277133,0.0006381368342676962,1.3266142396685332,0.8036633272031588,0.7510594455036183,0.7074350659941572,0.6161900472729945,0.4405589164965851,0.4904077395913191,0.0004325726162672239,0.00044012151454358994,19.0,272.8002446123551,377.37760093407024,477.54811568995785,5.173909530896211,0.0,5.173909530896211,10.818854766061511,5.173909530896211,0.9575570122926111,5.173909530896211,0.0,0.0007740647233197729,,0.0011974862212227322,27.643089403717376,1.294944952044592,2.650794999809356,0.17218924200726013,,-1.301888052614832,14.695265824674799,0.42845607501277133,1.0778240545800004,0.09613479262252964,7.1,1.0,rejected,FALSE-POSITIVE,,
388.4232352909248,322.796666664917,0.5940522595597277,14.257254229433466,-0.009271468327101852,1.0,-0.5246500712204164,10.18009646156092,0.22070285370333217,0.0006497154868255747,1.2334961071700299,0.7791160891169029,0.7145870869797496,0.6773732231263444,0.5960280678425587,0.44675672233171193,0.49040736677125096,0.0008726113225318577,0.0007177584735165721,15.0,284.70389984644027,395.6807132140479,498.18404024834484,11.741226473625115,0.0,11.741226473625115,13.315783646846818,12.435382901388538,1.7515842580923724,11.741226473625115,0.0,0.0007394183018374774,,0.000587957666932204,11.193568323256017,0.7794174099284229,1.1802017315510689,0.1439387144716656,,-0.5246500712204164,10.18009646156092,0.22070285370333217,1.5308364066165545,0.13654050479180285,7.1,1.0,rejected,CONFIRMED,Kepler-186f,3P
